policy_id,ref_num,url,error,file_type,expected_filename
211000189,1,https://www.iea.org/policies/4836-act-on-the-promotion-of-the-development-use-and-diffusion-of-new-and-renewable-energy?country=Korea&page=2&qs=korea,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/4836-act-on-the-promotion-of-the-development-use-and-diffusion-of-new-and-renewable-energy?country=Korea&page=2&qs=korea,,211000189_ref1
211000190,1,https://www.iea.org/policies/6125-2017-amendment-of-the-renewable-energy-sources-act-eeg-2017?country=Germany&qs=ger,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/6125-2017-amendment-of-the-renewable-energy-sources-act-eeg-2017?country=Germany&qs=ger,,211000190_ref1
211000191,1,https://www.iea.org/policies/7966-amendment-on-energy-efficiency-law?country=Turkey&qs=turkey,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/7966-amendment-on-energy-efficiency-law?country=Turkey&qs=turkey,,211000191_ref1
211000197,1,https://www.iea.org/policies/6132-andhra-pradesh-wind-power-policy-2015?country=India&page=3&qs=indi,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/6132-andhra-pradesh-wind-power-policy-2015?country=India&page=3&qs=indi,,211000197_ref1
211000200,1,http://www.eere.energy.gov/buildings/appliance_standards/,"HTTPSConnectionPool(host='www.eere.energy.gov', port=443): Max retries exceeded with url: /buildings/appliance_standards/ (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1006)')))",,211000200_ref1
211000203,1,https://www.iea.org/policies/5294-approval-on-the-establishment-of-non-food-biomass-feedstock-standardization-technical-committee?country=People%27s%20Republic%20Of%20China&page=5&qs=china,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/5294-approval-on-the-establishment-of-non-food-biomass-feedstock-standardization-technical-committee?country=People%27s%20Republic%20Of%20China&page=5&qs=china,,211000203_ref1
211000204,1,https://www.iea.org/policies/6130-argentina-renewable-energy-auctions-renovar-program-round-1,404 Client Error: Not Found for url: https://www.iea.org/policies/6130-argentina-renewable-energy-auctions-renovar-program-round-1,,211000204_ref1
211000207,1,https://www.iea.org/policies/1771-argentinean-energy-efficiency-fund?country=Argentina&qs=argentina,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/1771-argentinean-energy-efficiency-fund?country=Argentina&qs=argentina,,211000207_ref1
211000214,1,http://www.iea-coal.org.uk/documents/82617/9443/South%20Africa,404 Client Error: Not Found for url: https://www.iea-coal.org.uk/documents/82617/9443/South%20Africa,,211000214_ref1
211000215,1,http://www.nrc.gov/reading-rm/doc-collections/nuregs/staff/sr0980/v1/,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",,211000215_ref1
211000216,1,https://www.iea.org/policies/6373-auction-of-solar-corporation-of-india-seci?country=India&qs=india,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/6373-auction-of-solar-corporation-of-india-seci?country=India&qs=india,,211000216_ref1
211000218,1,https://www.iea.org/policies/6571-australia-solar-cooling-standard?country=Australia&qs=australia,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/6571-australia-solar-cooling-standard?country=Australia&qs=australia,,211000218_ref1
211000219,1,https://aviationbenefits.org/case-studies/aspire/,403 Client Error: Forbidden for url: https://aviationbenefits.org/case-studies/aspire/,,211000219_ref1
211000225,1,https://www.energyrating.gov.au/sites/default/files/2023-03/200003-achievements.pdf,"HTTPSConnectionPool(host='www.energyrating.gov.au', port=443): Read timed out. (read timeout=30)",,211000225_ref1
211000232,2,http://www.scc.ca/en/standardsdb/standards/26268,404 Client Error: Not Found for url: https://www.scc.ca/en/standardsdb/standards/26268,,211000232_ref2
211000235,1,https://www.sciencedirect.com/science/article/abs/pii/S095965262400920X,403 Client Error: Forbidden for url: https://www.sciencedirect.com/science/article/abs/pii/S095965262400920X,,211000235_ref1
211000238,1,https://www.boma.bc.ca/media/14854/BOMA-BESt-V2-Application-Guide-FULL1.pdf,404 Client Error: Not Found for url: https://www.boma.bc.ca/media/14854/BOMA-BESt-V2-Application-Guide-FULL1.pdf,,211000238_ref1
211000239,1,https://www.iea.org/policies/136-bpi-france-innovation-for-smes-support-for-rd?country=France&qs=fra,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/136-bpi-france-innovation-for-smes-support-for-rd?country=France&qs=fra,,211000239_ref1
211000242,1,http://www.mctic.gov.br/mctic/opencms/legislacao/portarias_interministeriais/migracao/Portaria_Interministerial_MMEMCTMDIC_n_1007_de_31122010.html,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",,211000242_ref1
211000243,1,http://www.iea-coal.org.uk/documents/82549/9446/Japan,404 Client Error: Not Found for url: https://www.iea-coal.org.uk/documents/82549/9446/Japan,,211000243_ref1
211000245,1,http://www.motie.go.kr/www/wwwMain/main.do,404 Client Error: Not Found for url: http://www.motie.go.kr/www/wwwMain/main.do,,211000245_ref1
211000246,1,https://www.unece.org/fileadmin/DAM/hlm/Meetings/2018/05_14/Documents/Annex_II._Countries_information__sheets-FINAL.pdf,403 Client Error: Forbidden for url: https://www.unece.org/fileadmin/DAM/hlm/Meetings/2018/05_14/Documents/Annex_II._Countries_information__sheets-FINAL.pdf,,211000246_ref1
211000247,1,https://www.eea.europa.eu/themes/air/links/guidance-and-tools/eu-best-available-technology-reference,"('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))",,211000247_ref1
211000250,1,https://www.iea.org/policies/479-better-buildings-accelerators?country=United%20States&page=3,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/479-better-buildings-accelerators?country=United%20States&page=3,,211000250_ref1
211000251,1,https://betterbuildingssolutioncenter.energy.gov/better-plants,"HTTPSConnectionPool(host='betterbuildingssolutioncenter.energy.gov', port=443): Max retries exceeded with url: /better-plants (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1006)')))",,211000251_ref1
211000253,1,https://www.iea.org/policies/8792-bike-kilometric-allowance?country=France&qs=fra,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/8792-bike-kilometric-allowance?country=France&qs=fra,,211000253_ref1
211000260,1,http://www.da.usda.gov/energyandenvironment/greenpurchasing/index.html,"HTTPSConnectionPool(host='www.usda.gov', port=443): Read timed out. (read timeout=30)",,211000260_ref1
211000266,1,http://gain.fas.usda.gov/Recent%20GAIN%20Publications/Biofuels%20Annual_Jakarta_Indonesia_6-27-2014.pdf,"HTTPConnectionPool(host='gain.fas.usda.gov', port=80): Max retries exceeded with url: /Recent%20GAIN%20Publications/Biofuels%20Annual_Jakarta_Indonesia_6-27-2014.pdf (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000232F19ECFD0>, 'Connection to gain.fas.usda.gov timed out. (connect timeout=30)'))",,211000266_ref1
211000266,2,https://www.reuters.com/article/business/energy/indonesia-to-implement-mandatory-35-biodiesel-blending-starting-jan-1-2023-idUSL1N33602Q/,401 Client Error: HTTP Forbidden for url: https://www.reuters.com/article/business/energy/indonesia-to-implement-mandatory-35-biodiesel-blending-starting-jan-1-2023-idUSL1N33602Q/,,211000266_ref2
211000272,1,https://www.iea.org/policies/3940-biofuel-rd-programme?country=France&page=3&qs=franc,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/3940-biofuel-rd-programme?country=France&page=3&qs=franc,,211000272_ref1
211000280,1,http://www.energy.gov.za/files/esources/petroleum/petroleum_bio.html,"HTTPSConnectionPool(host='www.energy.gov.za', port=443): Max retries exceeded with url: /files/esources/petroleum/petroleum_bio.html (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1006)')))",,211000280_ref1
211000280,2,http://www.energy.gov.za/files/esources/petroleum/Biofuels.pdf,"HTTPSConnectionPool(host='www.energy.gov.za', port=443): Max retries exceeded with url: /files/esources/petroleum/Biofuels.pdf (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1006)')))",,211000280_ref2
211000282,2,http://www.platts.com/latest-news/agriculture/jakarta/indonesias-new-biodiesel-mandate-to-cut-gasoil-27259805,403 Client Error: Forbidden for url: https://www.spglobal.com/platts/en/market-insights/latest-news,,211000282_ref2
211000289,1,https://www.iea.org/policies/3548-biogas-program?country=France&page=4&qs=fran,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/3548-biogas-program?country=France&page=4&qs=fran,,211000289_ref1
211000293,1,https://www.govtrack.us/congress/bills/96/s932,403 Client Error: Forbidden for url: https://www.govtrack.us/congress/bills/96/s932,,211000293_ref1
211000300,1,https://www.dqsglobal.com/intl/certify/iscc-certification,403 Client Error: Forbidden for url: https://www.dqsglobal.com/intl/certify/iscc-certification,,211000300_ref1
211000301,1,https://www.iea.org/policies/6234-biomethane-injection-into-the-natural-gas-grid?country=France&qs=fra,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/6234-biomethane-injection-into-the-natural-gas-grid?country=France&qs=fra,,211000301_ref1
211000302,1,https://www.iea.org/policies/5553-biomethane-subsidies?country=Italy&qs=italy,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/5553-biomethane-subsidies?country=Italy&qs=italy,,211000302_ref1
