policy_id,ref_num,url,error,file_type,expected_filename,saved
211000100,1,https://www.bmwi.de/Redaktion/EN/Artikel/Energy/digitisation-of-the-energy-transition.html,,html,211000100_ref1,True
211000101,1,https://www.iea.org/policies/6521-act-on-the-further-development-of-the-electricity-market?country=Germany&qs=ger,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/6521-act-on-the-further-development-of-the-electricity-market?country=Germany&qs=ger,,211000101_ref1,False
211000102,1,https://www.ecolex.org/details/legislation/act-on-the-promotion-of-the-development-use-and-diffusion-of-new-and-renewable-energy-lex-faoc070352/,,html,211000102_ref1,True
211000103,1,https://chemical.chemlinked.com/epublication/japan-act-on-the-protection-of-the-ozone-layer-through-the-control-of-specified-substances-etc-and-other-measures,403 Client Error: Forbidden for url: https://chemical.chemlinked.com/epublication/japan-act-on-the-protection-of-the-ozone-layer-through-the-control-of-specified-substances-etc-and-other-measures,,211000103_ref1,False
211000104,1,https://www.iea.org/policies/7977-act-on-the-rational-use-of-energy-revision-of-energy-conservation-act,,html,211000104_ref1,True
211000105,1,http://faolex.fao.org/docs/pdf/kor158173.pdf,,pdf,211000105_ref1,True
211000106,1,http://www.legco.gov.hk/yr12-13/english/sec/library/1213inc04-e.pdf,404 Client Error: Not Found for url: https://www.legco.gov.hk/yr12-13/english/sec/library/1213inc04-e.pdf,,211000106_ref1,False
211000107,1,https://www.iea.org/policies/2222-action-concerning-government-buildings?country=France&page=3&qs=fran,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/2222-action-concerning-government-buildings?country=France&page=3&qs=fran,,211000107_ref1,False
211000108,1,http://japan.kantei.go.jp/policy/ondanka/final080729.pdf,,pdf,211000108_ref1,True
211000109,1,https://www.globalelr.com/2019/04/china-aims-to-boost-investment-in-clean-energy/,,html,211000109_ref1,True
211000110,1,https://www.gov.br/mma/pt-br/assuntos/combate-ao-desmatamento-queimadas-e-ordenamento-ambiental-territorial/controle-do-desmatamento-1/amazonia-ppcdam-1,404 Client Error: Not Found for url: https://www.gov.br/mma/pt-br/assuntos/combate-ao-desmatamento-queimadas-e-ordenamento-ambiental-territorial/controle-do-desmatamento-1/amazonia-ppcdam-1,,211000110_ref1,False
211000110,2,https://infoamazonia.org/en/2023/04/14/ppcdam-new-plan-against-deforestation-includes-technologies-to-anticipate-devastation-and-investment-in-bioeconomy-to-develop-the-amazon/,,html,211000110_ref2,True
211000111,1,http://redd.mma.gov.br/en/legal-and-public-policy-framework/ppcerrado,404 Client Error: Not Found for url: https://www.gov.br/mma/pt-br/composicao/secd/redd,,211000111_ref1,False
211000112,1,https://www.iea.org/policies/1707-action-plan-for-energy-efficiency?country=United%20Kingdom&page=3,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/1707-action-plan-for-energy-efficiency?country=United%20Kingdom&page=3,,211000112_ref1,False
211000113,1,https://hk.lexiscn.com/latest_message.php?id=164721,,html,211000113_ref1,True
211000114,1,https://www.sesec.eu/08-05-2018-the-action-plan-of-smart-photovoltaic-industry-development-2018-2020-released/,,html,211000114_ref1,True
211000115,1,http://www.minambiente.it/sites/default/files/archivio/allegati/GPP/GU_102_2013_PAN_GPP_revisione.pdf,,pdf,211000115_ref1,True
211000116,1,http://www.china.org.cn/environment/2013-08/16/content_29742881.htm,,html,211000116_ref1,True
211000117,1,http://www.lse.ac.uk/GranthamInstitute/law/action-programme-on-climate-protection-2020/,,html,211000117_ref1,True
211000118,1,https://www.energy.gov/sites/prod/files/nepapub/nepa_documents/RedDont/Req-EO13212energyprojects.pdf,,pdf,211000118_ref1,True
211000119,1,http://www.cnea.gov.ar/sites/default/files/ACTIVIDAD-NUCLEAR-CNEA.pdf,"HTTPConnectionPool(host='www.cnea.gov.ar', port=80): Max retries exceeded with url: /sites/default/files/ACTIVIDAD-NUCLEAR-CNEA.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x00000232F21290D0>: Failed to resolve 'www.cnea.gov.ar' ([Errno 11001] getaddrinfo failed)""))",,211000119_ref1,False
211000120,1,https://www.iea.org/policies/2043-activities-of-deutsche-bahn?country=Germany&page=4,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/2043-activities-of-deutsche-bahn?country=Germany&page=4,,211000120_ref1,False
211000121,1,https://www.iea.org/policies/2710-additional-funding-charging-infrastructure?country=United%20Kingdom&qs=united,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/2710-additional-funding-charging-infrastructure?country=United%20Kingdom&qs=united,,211000121_ref1,False
211000122,1,https://eur-lex.europa.eu/EN/legal-content/summary/greenhouse-gas-emission-allowance-trading-system.html,,html,211000122_ref1,True
211000123,1,https://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2004:052:0050:0060:EN:PDF,,html,211000123_ref1,True
211000124,1,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/ccx/2021/Effects_of_rescaling_the_EU_energy_label_JOS.pdf,,pdf,211000124_ref1,True
211000125,1,http://calcleancars.org/about/clean-cars-program/,,html,211000125_ref1,True
